platform,Average Meta Score,Average User Review
 Wii,65.806106870229,7.0916247906197655
 DS,66.67916666666666,7.1268781302170284
 PSP,68.54296875,7.2678879310344828
 Game Boy Advance,68.62100456621005,7.4670487106017192
 Xbox 360,68.86739659367396,6.9156431803490627
 PlayStation 2,68.94695898161245,7.5324942791762014
 3DS,69.62626262626263,7.1039682539682540
 Stadia,69.8,7.3800000000000000
 Xbox,70.0532319391635,7.1569970845481050
 PlayStation 3,70.71019108280255,6.9246688741721854
 GameCube,70.953125,7.4307506053268765
 PlayStation 4,71.04134241245136,6.4922564102564103
 PlayStation Vita,71.06225680933852,7.2677290836653386
 PC,71.79790296052632,6.9181974248927039
 Xbox One,72.3952502120441,6.4731864095500459
 Wii U,72.42391304347827,7.3121546961325967
 Switch,72.52323087919943,7.1710526315789474
 PlayStation,73.34224598930481,7.7222891566265060
 Dreamcast,74.072,7.8705882352941176
 PlayStation 5,75.4274193548387,6.6654545454545455
 Xbox Series X,75.98701298701299,6.6584615384615385
 Nintendo 64,78.43661971830986,7.9549295774647887
